,uuid, sensorpoint
948@-121@V,7f8554b2-034f-424f-bd03-7f0f17e197b1,PresentValue
318@-505@V,c00ef4c1-0a91-491e-9ea5-424c459cdc0e,PresentValue
974@-479@V,84f2ee45-5292-44c2-b9d9-9297ae2fb962,PresentValue
383@-725@V,9c53a974-b6af-445b-88b7-8e3754999433,PresentValue
941@-505@V,8e85476f-9966-42ec-95ba-4fa837f919ff,PresentValue
1100@-488@V,d6f830e8-7371-40f3-9f50-f237d5489b1c,PresentValue
948@-130@V,b19a7550-7d9a-4761-a7e9-8f8a82f4b8d0,PresentValue
1013@-121@V,e0a3f68b-4255-471e-85ad-b1c90a48b2e3,PresentValue
942@-505@V,ff36cb8c-5a1f-488c-a596-c35881a302a8,PresentValue
435@1042@V,006f33dd-beae-49d5-961b-a2b8520cb347,PresentValue
938@-118@V,0cafcedf-889c-49f1-8707-14f22982a6e1,PresentValue
686@-505@V,11fd2833-6222-404f-8a93-b0da4333018f,PresentValue
544@-118@V,19f3517a-6f2c-4ceb-8796-3e8b09d50a0f,PresentValue
306@-505@V,253e8bdd-2939-4893-8fc5-46b98424eb00,PresentValue
942@-488@V,2ed7768b-6326-4aec-b9d6-87bd2f6646c1,PresentValue
1046@-130@V,2efafe8b-8b10-4555-bce2-def836fa3ab1,PresentValue
1050@-495@V,389fbc23-3dee-4881-9d72-a92768de41cf,PresentValue
1048@-495@V,39514b6b-0fe4-4f2c-9d8f-b5c8cba1ddb9,PresentValue
880@-497@V,43a3d73c-3fc6-4294-967a-4a6cc7cc4cac,PresentValue
1100@-121@V,478b1cfd-9e4e-4c4b-82af-73839de7a74e,PresentValue
970@-99@V,4bd58e6b-efc4-4302-b83c-a29b05e2d248,PresentValue
382@-121@V,c8d7cba3-8064-40e2-97a8-0122b1848b63,PresentValue
596@-110@V,70307e19-3552-424b-b885-d075464eaea5,PresentValue
306@-497@V,b28138fa-9c7e-4c85-b3ab-eba6b22a01d2,PresentValue
1009@-505@V,c2240887-1b46-47a1-abfc-1059510483fd,PresentValue
973@-505@V,8db77167-0f61-4ea4-90dc-905c7609d708,PresentValue
398@-497@V,6574474c-a624-4a94-84ad-80b94126fd09,PresentValue
1049@-479@V,de91e920-98e0-4f79-a78d-6d113d867f66,PresentValue
1010@-99@V,6c519f14-68a2-45b8-98c3-a6822b096d5c,PresentValue
940@-99@V,e19833da-672a-4038-97a9-6255e2cfac5b,PresentValue
657@-118@V,7681701c-3ff2-40be-a554-bc3ceb047108,PresentValue
383@-118@V,ee82c87e-4127-4166-97c7-4d175b8f33a1,PresentValue
518@-488@V,79988566-5f63-4c7e-b7fb-105064cd8091,PresentValue
1012@-99@V,b77c44ae-9003-4ba3-a766-23e6145c934e,PresentValue
847@-118@V,7a40f0bd-0e6b-4a42-bc25-571817dddfdf,PresentValue
1047@-121@V,cec89d0b-ee0a-4a79-9330-adde6b438957,PresentValue
937@-505@V,f3834dbb-c2cd-4afe-b51d-ad8c4cfd5722,PresentValue
967@-505@V,84b0a7be-9f5b-48b6-9ad8-6e00e7412828,PresentValue
969@-488@V,8928c1bc-1f0d-4cc8-a97d-e65df79b6904,PresentValue
975@-118@V,992ee018-ada5-4600-b589-610b239df328,PresentValue
1013@-505@V,8aca9096-03c2-44cf-900b-b5aab2b77a19,PresentValue
544@-488@V,ec9648e8-7f9c-43af-a16e-3fc7010a1ec6,PresentValue
673@-505@V,92eaf202-cc7b-40e1-9537-494794a33746,PresentValue
1099@-99@V,ecb217aa-45bd-44ec-aa98-8f404118d537,PresentValue
517@-99@V,94a5b11e-1e5a-4aa1-b1e9-e942b5142e07,PresentValue
1011@-118@V,af131a34-6a6a-47f9-b4de-f35e3da34a05,PresentValue
957@-130@V,acb4ec95-ad30-4554-be08-bfc637aa5226,PresentValue
934@-110@V,e71e2d20-dd1e-4360-8a24-ff9894beac76,PresentValue
621@-121@V,af03646f-65e8-40f9-a901-30203c89bb4d,PresentValue
673@-99@V,e34fed63-629b-4184-ad3e-fb06f26080f0,PresentValue
526@-130@V,e8275f99-329b-4235-a494-c3794cf631dd,PresentValue
657@-130@V,f94c5b88-9bf1-426c-8006-216ae142cb02,PresentValue
847@-110@V,7d0c6095-0def-430b-80eb-8d7ea6ec9dfb,PresentValue
